time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-15T07:36:30.670Z,38.0139,36.48,10,4.6,mb,70,56,0.973,0.78,us,us6000jp25,2023-02-20T04:45:48.040Z,"1 km WSW of Göksun, Turkey",earthquake,5.87,1.884,0.094,34,reviewed,us,us
2023-02-15T06:25:30.425Z,38.0958,36.7171,8.443,4.2,mb,49,53,0.39,0.76,us,us6000jp1e,2023-02-15T07:13:18.040Z,"21 km ENE of Göksun, Turkey",earthquake,5.43,6.469,0.113,22,reviewed,us,us
2023-02-15T00:06:02.103Z,36.6629,36.5602,10,4.1,mb,40,118,2.257,1.04,us,us6000jp0a,2023-02-15T04:28:50.338Z,"12 km S of A?a?? Karafak?l?, Turkey",earthquake,5.78,1.962,0.112,22,reviewed,us,us
2023-02-14T23:14:01.639Z,38.5556,37.4549,2.628,4.2,mb,49,65,0.872,0.89,us,us6000jnzr,2023-02-15T01:45:36.040Z,"4 km WNW of Darende, Turkey",earthquake,4.71,4.089,0.108,24,reviewed,us,us
2023-02-14T15:50:40.851Z,38.0868,37.1649,19.431,4.4,mb,41,102,1.286,0.52,us,us6000jnxk,2023-02-20T18:26:15.332Z,"3 km NW of Ekinözü, Turkey",earthquake,5.02,5.467,0.134,16,reviewed,us,us
2023-02-14T13:44:03.163Z,35.3775,35.3986,10,4.4,mb,38,171,1.744,0.87,us,us6000jnr1,2023-02-14T15:25:21.040Z,"39 km WSW of Latakia, Syria",earthquake,7.65,1.918,0.138,15,reviewed,us,us
2023-02-14T13:13:07.027Z,37.8316,37.9533,12.979,4,mb,36,69,0.792,0.55,us,us6000jnqy,2023-02-22T17:55:15.040Z,"5 km NE of Tut, Turkey",earthquake,3.04,4.462,0.211,6,reviewed,us,us
2023-02-14T11:54:11.666Z,35.9037,36.1184,10,4.4,mb,66,114,2.463,0.62,us,us6000jnqt,2023-02-14T15:01:02.040Z,"5 km E of Yaylada??, Turkey",earthquake,4.65,1.782,0.095,32,reviewed,us,us
2023-02-13T19:20:27.585Z,38.0201,36.4179,4.929,4.8,mb,81,55,0.944,0.74,us,us6000jnmc,2023-02-15T01:50:03.040Z,"6 km W of Göksun, Turkey",earthquake,5.35,4.487,0.058,92,reviewed,us,us
2023-02-13T15:15:05.789Z,37.9396,36.3113,10,4.1,mb,24,98,0.981,0.62,us,us6000jnlc,2023-02-13T18:04:26.040Z,"18 km WSW of Göksun, Turkey",earthquake,5.2,1.938,0.214,6,reviewed,us,us
